Category;Approach;Output;;Dataset;;;;;Indexing;;;;Input;;;;;;;Retrieval;;;;;Presentation;;;Languages
;LibFinder~\cite{ouni_search_based_2017};Yes;;;Yes;;;;;;;;;Yes;;;;;;;;;;Yes;;;Yes;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SWIM~\cite{raghothaman_swim_2016};Yes;Yes;;Yes;;;;;;;;Yes;;;;;;;Yes;;;;;Yes;;;C\#
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;APIREC~\cite{nguyen_api_2016};Yes;;;;;;;;;;;;Yes;;;;;;Yes;Yes;;;;;;Yes;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lee et al.~\cite{lee2018comment};;Yes;;Yes;;;;;;;;Yes;;;;;;;Yes;;;;;;;Yes;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interface-driven;Strathcona~\cite{holmes_strathcona_2005,holmes_using_2005,holmes_approximate_2006};;;;;;;;;Yes;;;;Yes;;;;;Yes;;;;;;;;Yes;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lemos et al.~\cite{lemos_can_2015};Yes;;;Yes;;;;;Yes;;;Yes;;;;;;Yes;Yes;;;;;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Semantic-based;ANNE~\cite{vinayakarao_anne_2017};Yes;;;;Yes;;;;;;;Yes;;;;;;;Yes;;;;;Yes;;Yes;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CodeMatcher~\cite{liu_simplifying_2020};Yes;;;Yes;;;;Yes;;;;Yes;;;;;;;Yes;;;;;Yes;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hill et al.~\cite{hill_improving_2011};Yes;;Yes;;;;;;;;;Yes;;;;;;;Yes;;;;;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;JECO~\cite{arwan_source_2015};Yes;;;;Yes;;;;;;;Yes;;;;;;;Yes;;;;;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vinayakarao~\cite{vinayakarao_spotting_2015};Yes;;;;Yes;;;;Yes;;;;Yes;;;;;;Yes;;;;;;Yes;;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;McMillan et al.~\cite{mcmillan_recommending_2012};Yes;;;Yes;;;;;Yes;;;Yes;;;;;;;Yes;;;;;Yes;;;Java, C\#
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lancer~\cite{zhou_lancer_2019};Yes;;;Yes;;;;;Yes;;;;Yes;;;;;;Yes;Yes;;;;;;Yes;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Test Recommender~\cite{pham_automatically_2015};Yes;;Yes;;;;;;Yes;;;;Yes;;;;;;Yes;;;;;;;Yes;Java
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
