Category;Approach;Output;;Dataset;;;;;;;Index;;Input;;Retrieval;;;;Presentation;;;Language
;COIL~\cite{li_learning_2020};Yes;;;Yes;;;;;Yes;;;Yes;;;;;Yes;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;
;CoNCRA~\cite{de_rezende_martins_concra_2020};Yes;;;;Yes;;;;;;;Yes;;;;;Yes;Yes;;;Python, SQL
;;;;;;;;;;;;;;;;;;;;;;
;COSEA~\cite{wang_cosea_2020};Yes;;;;Yes;;;;;;;Yes;;;;;Yes;Yes;;;Python, SQL
;;;;;;;;;;;;;;;;;;;;;;
;DGMS~\cite{ling_deep_2020};Yes;;;Yes;Yes;;;Yes;Yes;;;Yes;;;;;Yes;Yes;;;Java, Python
;;;;;;;;;;;;;;;;;;;;;;
;APIRec-CST~\cite{chen_holistic_2020};;Yes;;Yes;;Yes;;;;;;Yes;;;;;;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;
;Zhao et al.~\cite{zhao_adversarial_2020};Yes;;;;Yes;;;;;;;Yes;;;;;Yes;Yes;;;Python, SQL
;;;;;;;;;;;;;;;;;;;;;;
;CRaDLe~\cite{gu_cradle_2020};Yes;;;;;;;Yes;;;;Yes;;;;;Yes;Yes;;;Python
;;;;;;;;;;;;;;;;;;;;;;
;NJACS~\cite{hu_neural_2020};Yes;;;;Yes;;;;;;;Yes;;;;;Yes;Yes;;;C\#, SQL, Java, Python
;;;;;;;;;;;;;;;;;;;;;;
