Category;Approach;Output;;Database;;;;;;Index;;;;Input;;;Retrieval;;;;Presentation;;;Language
;GKSR~huang_qe_integrating_2019;Yes;;;Yes;;;;;Yes;;;;Yes;;;Yes;;;;Yes;;;C\#, Java, Android
;;;;;;;;;;;;;;;;;;;;;;;;
;QESC~huang_deep_2019,zou2020query;Yes;;;Yes;;Yes;;;Yes;;;;Yes;;;Yes;;;;Yes;;;Java
;;;;;;;;;;;;;;;;;;;;;;;;
QL;AutoQuery~wang_autoquery_2016;Yes;;Yes;;;;;;;Yes;;;;Yes;;;;Yes;;Yes;;;C, C++
;;;;;;;;;;;;;;;;;;;;;;;;
;SnipMatch~wightman_snipmatch_2012;Yes;;Yes;;;;;;;;;;Yes;;;Yes;;;;;;Yes;Java
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
